Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17.0,26,2,0,2,1,21.8,0.32,-3.2,-0.19,85,264,32.2,569,86,31.1,32.8,120,72.5,54.6,206,9,4.4,13,0.76,13.3
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.50,11.3
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17.0,33,1,1,4,1,35.4,0.31,+3.4,+0.20,91,259,35.1,558,87,33.2,33.2,133,55.6,45.3,285,17,6.0,36,2.12,16.4
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17.0,18,2,0,4,0,16.2,0.27,-1.8,-0.11,44,130,33.8,680,73,15.0,25.9,107,26.2,31.1,186,13,7.0,31,1.82,18.0
Alexander Brunst,de GER,GK,Darmstadt 98,28-196,1995,1.0,1,0,0,1,0,0.7,0.25,-0.3,-0.25,12,36,33.3,38,2,71.1,47.6,9,100.0,66.8,24,1,4.2,0,0.00,10.3
Koen Casteels,be BEL,GK,Wolfsburg,31-208,1992,14.0,21,1,0,2,0,21.7,0.30,+0.7,+0.05,89,202,44.1,429,64,33.8,34.2,95,60.0,46.4,211,12,5.7,23,1.64,16.6
Finn Dahmen,de GER,GK,Augsburg,25-298,1998,17.0,32,5,0,6,2,30.4,0.25,+0.4,+0.02,96,261,36.8,678,49,31.3,32.6,97,50.5,43.5,270,18,6.7,28,1.65,14.1
Jens Grahl,de GER,GK,Eint Frankfurt,35-119,1988,1.0,1,0,0,0,0,1.0,0.26,0.0,+0.02,2,18,11.1,40,9,35.0,35.9,5,80.0,58.0,21,2,9.5,0,0.00,11.0
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-056,1989,17.0,12,0,0,3,0,16.8,0.29,+4.8,+0.28,38,98,38.8,399,87,19.5,27.8,67,29.9,33.9,166,16,9.6,23,1.35,17.3
Gregor Kobel,ch SUI,GK,Dortmund,26-044,1997,16.3,24,5,0,4,1,25.9,0.26,+2.9,+0.18,89,195,45.6,582,70,24.4,29.4,117,45.3,39.5,219,4,1.8,11,0.68,12.9
Alexander Meyer,de GER,GK,Dortmund,32-281,1991,0.7,1,0,0,0,0,1.0,0.52,0.0,+0.05,1,3,33.3,21,5,14.3,22.5,7,0.0,20.7,9,2,22.2,0,0.00,6.8
Kevin Müller,de GER,GK,Heidenheim,32-310,1991,17.0,33,6,0,5,2,30.5,0.25,-0.5,-0.03,141,327,43.1,597,76,38.7,36.9,153,62.7,46.5,269,16,5.9,12,0.71,13.7
Manuel Neuer,de GER,GK,Bayern Munich,37-298,1986,8.0,8,0,0,0,0,6.6,0.28,-1.4,-0.17,29,62,46.8,299,37,18.4,28.4,39,17.9,27.0,66,1,1.5,5,0.63,20.5
Moritz Nicolas,de GER,GK,M'Gladbach,26-090,1997,15.0,29,4,0,4,0,28.7,0.27,-0.3,-0.02,53,168,31.5,494,81,25.3,29.3,89,48.3,41.8,247,12,4.9,12,0.80,13.2
Alexander Nübel,de GER,GK,Stuttgart,27-111,1996,17.0,22,1,0,3,2,18.7,0.28,-1.3,-0.07,79,167,47.3,595,81,23.5,28.6,73,37.0,33.4,195,21,10.8,40,2.35,18.3
Jonas Omlin,ch SUI,GK,M'Gladbach,30-009,1994,2.0,7,1,0,1,0,6.0,0.28,-1.0,-0.51,11,32,34.4,67,13,40.3,37.0,10,50.0,40.4,27,1,3.7,2,1.00,13.3
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-280,1992,7.0,17,2,0,1,0,13.1,0.30,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4
Pavao Pervan,at AUT,GK,Wolfsburg,36-067,1987,3.0,7,0,1,0,1,6.1,0.38,+0.1,+0.05,9,41,22.0,106,23,32.1,31.9,11,63.6,49.2,37,0,0.0,2,0.67,13.3
Manuel Riemann,de GER,GK,Bochum,35-132,1988,17.0,34,3,0,4,2,29.4,0.26,-2.6,-0.15,199,515,38.6,775,42,59.2,41.7,102,54.9,43.6,242,18,7.4,60,3.53,21.2
Frederik Rønnow,dk DEN,GK,Union Berlin,31-168,1992,16.0,31,3,1,5,1,27.4,0.30,-2.6,-0.16,75,237,31.6,520,74,33.5,32.6,102,61.8,47.1,241,20,8.3,26,1.63,14.9
Marcel Schuhen,de GER,GK,Darmstadt 98,31-006,1993,16.0,43,1,1,5,0,38.6,0.35,-4.4,-0.28,118,311,37.9,692,87,35.3,34.3,131,51.1,42.6,225,13,5.8,30,1.88,16.5
Marvin Schwäbe,de GER,GK,Köln,28-269,1995,17.0,29,1,0,4,0,33.9,0.39,+4.9,+0.29,70,168,41.7,610,57,24.3,29.5,79,25.3,30.8,215,6,2.8,14,0.82,14.2
Kevin Trapp,de GER,GK,Eint Frankfurt,33-195,1990,16.0,19,3,0,1,0,20.5,0.24,+1.5,+0.09,53,178,29.8,490,68,28.0,29.5,114,36.0,33.4,254,6,2.4,13,0.81,13.9
Sven Ulreich,de GER,GK,Bayern Munich,35-169,1988,8.0,7,1,1,2,0,6.6,0.33,-0.4,-0.05,20,64,31.3,261,35,21.8,26.3,34,20.6,27.1,70,2,2.9,14,1.75,23.0
Robin Zentner,de GER,GK,Mainz 05,29-083,1994,13.0,26,2,1,1,1,23.8,0.40,-1.2,-0.09,58,161,36.0,363,77,38.3,35.4,67,32.8,33.1,160,16,10.0,19,1.46,16.8
Michael Zetterer,de GER,GK,Werder Bremen,28-191,1995,10.0,14,1,0,1,1,14.2,0.35,+1.2,+0.12,48,109,44.0,354,68,26.8,32.4,55,25.5,33.3,134,15,11.2,7,0.70,13.0
