Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,4.4,120,113,5,0,2,0,9,1,3,2,1,0,93,2,5
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,1.1,25,24,1,0,0,0,1,0,0,0,0,0,15,0,0
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,1.6,36,31,5,1,0,0,0,1,0,0,0,0,28,0,1
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,4.1,119,110,9,3,0,0,8,5,1,1,0,0,86,0,7
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,2.9,141,136,5,1,2,1,11,4,0,0,0,0,109,0,4
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,3.1,128,105,22,0,0,1,5,21,1,0,0,0,90,1,6
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,9.8,257,238,18,2,1,2,3,0,0,0,0,0,189,1,3
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,6.4,347,334,12,7,0,2,3,5,0,0,0,0,293,1,2
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,3.2,84,78,6,0,0,0,11,3,1,0,1,0,61,0,4
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,0.2,18,17,1,0,0,0,1,0,1,0,0,0,13,0,2
Kofi Amoako,de GER,MF,Wolfsburg,18-258,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Andrich,de GER,"MF,DF",Leverkusen,29-119,1994,4.7,385,370,14,12,1,1,0,2,0,0,0,0,345,1,2
Waldemar Anton,de GER,DF,Stuttgart,27-183,1996,16.6,1371,1313,56,25,4,4,7,24,0,0,0,0,1213,2,8
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-346,1994,8.0,265,202,63,0,1,0,32,62,0,0,0,0,165,0,11
Maximilian Arnold,de GER,MF,Wolfsburg,29-237,1994,11.9,651,572,75,36,2,6,42,0,26,18,7,0,530,4,7
Arthur,br BRA,DF,Leverkusen,20-308,2003,0.4,22,21,1,0,0,0,1,1,0,0,0,0,20,0,1
Takuma Asano,jp JPN,"FW,MF",Bochum,29-070,1994,13.1,202,196,6,1,1,0,17,1,0,0,0,0,135,0,11
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17.0,690,528,161,41,0,1,0,0,0,0,0,0,496,1,0
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-216,1997,10.3,471,394,73,3,1,6,17,70,0,0,0,0,345,4,15
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-286,1998,10.3,567,466,99,11,1,2,24,88,0,0,0,0,436,2,8
Samuel Bamba,de GER,FW,Dortmund,19-340,2004,0.5,20,19,1,0,0,0,4,1,0,0,0,0,14,0,1
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-243,1998,3.6,184,171,13,0,1,0,13,8,4,2,2,0,118,0,4
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,24-016,2000,14.0,496,478,15,13,0,1,3,2,0,0,0,0,373,3,14
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4.0,153,120,33,12,0,0,0,0,0,0,0,0,104,0,0
Maximilian Bauer,de GER,DF,Augsburg,23-344,2000,5.5,286,266,20,13,0,0,0,1,0,0,0,0,243,0,2
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-085,2005,0.2,10,8,2,0,0,0,0,2,0,0,0,0,7,0,0
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17.0,693,521,170,37,0,0,0,0,0,0,0,0,509,2,0
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-171,1999,7.6,277,268,5,3,2,1,6,2,0,0,0,0,208,4,11
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-271,1994,8.1,241,205,36,0,0,0,18,32,0,0,0,0,167,0,15
Adrian Beck,de GER,MF,Heidenheim,26-224,1997,6.8,246,233,11,2,1,2,4,0,0,0,0,0,183,2,8
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-344,1995,7.2,280,261,18,0,0,1,57,13,1,0,0,1,183,1,13
Donny van de Beek,nl NED,FW,Eint Frankfurt,26-276,1997,0.7,16,13,3,0,0,0,3,0,3,0,3,0,12,0,0
Kevin Behrens,de GER,FW,Union Berlin,32-350,1991,12.3,291,280,10,0,2,0,5,3,0,0,0,0,185,1,13
Maximilian Beier,de GER,FW,Hoffenheim,21-094,2002,11.4,194,178,15,0,2,0,12,2,0,0,0,0,125,1,12
Stefan Bell,de GER,DF,Mainz 05,32-148,1991,7.4,370,364,6,6,0,0,1,0,0,0,0,0,297,0,4
Ramy Bensebaini,dz ALG,DF,Dortmund,28-278,1995,11.1,832,729,103,22,1,4,21,81,0,0,0,0,690,0,25
Mergim Berisha,de GER,FW,Hoffenheim,25-253,1998,1.6,33,30,2,0,1,1,2,0,0,0,0,0,22,1,2
Mergim Berisha,de GER,FW,Augsburg,25-253,1998,1.4,14,13,1,0,0,0,1,0,0,0,0,0,10,0,1
Bernardo,br BRA,DF,Bochum,28-250,1995,17.0,820,708,111,8,0,3,14,89,0,0,0,0,604,1,14
Matúš Bero,sk SVK,"MF,FW",Bochum,28-135,1995,7.4,198,191,5,1,2,1,6,4,0,0,0,0,143,2,2
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,25-015,1999,14.0,431,289,140,44,0,5,129,16,77,40,31,0,250,2,21
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-205,2005,1.6,81,77,4,1,0,0,7,0,3,0,3,0,65,0,3
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-031,1993,9.3,398,385,9,4,3,2,17,4,1,1,0,0,318,4,7
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17.0,788,648,139,32,0,0,0,0,0,0,0,0,685,1,1
Victor Boniface,ng NGA,FW,Leverkusen,23-027,2000,14.2,315,300,13,1,3,2,3,5,0,0,0,0,225,2,15
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,5.1,248,236,11,7,0,1,6,4,0,0,0,0,190,1,0
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,0.2,11,11,0,0,0,0,3,0,0,0,0,0,7,0,2
