Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,4.4,0,3,1,33.3,0.68,0.23,0.00,0.00,17.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,1.1,0,2,1,50.0,1.89,0.95,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,1.6,0,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0,0,0.9,0.9,0.19,-0.9,-0.9
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,4.1,0,5,2,40.0,1.22,0.49,0.00,0.00,14.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,2.9,1,7,3,42.9,2.38,1.02,0.14,0.33,15.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,3.1,0,1,0,0.0,0.33,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,9.8,1,19,4,21.1,1.95,0.41,0.05,0.25,12.6,0,0,2,4.5,2.9,0.15,-3.5,-1.9
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,3.2,0,6,3,50.0,1.86,0.93,0.00,0.00,14.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Kofi Amoako,de GER,MF,Wolfsburg,18-258,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Robert Andrich,de GER,"MF,DF",Leverkusen,29-119,1994,4.7,0,1,1,100.0,0.21,0.21,0.00,0.00,3.9,0,0,0,0.2,0.2,0.19,-0.2,-0.2
Waldemar Anton,de GER,DF,Stuttgart,27-183,1996,16.6,0,13,3,23.1,0.78,0.18,0.00,0.00,16.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-346,1994,8.0,1,20,5,25.0,2.49,0.62,0.05,0.20,18.6,0,0,0,1.5,1.5,0.08,-0.5,-0.5
Maximilian Arnold,de GER,MF,Wolfsburg,29-237,1994,11.9,1,10,6,60.0,0.84,0.51,0.10,0.17,29.4,4,0,0,0.4,0.4,0.04,+0.6,+0.6
Arthur,br BRA,DF,Leverkusen,20-308,2003,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Takuma Asano,jp JPN,"FW,MF",Bochum,29-070,1994,13.1,5,37,15,40.5,2.83,1.15,0.14,0.33,13.4,0,0,0,4.8,4.8,0.13,+0.2,+0.2
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-216,1997,10.3,1,10,1,10.0,0.97,0.10,0.10,1.00,22.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6
