Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,12,5,395,4.4,0,0,0,0,0,0,3,1,0.2,0.2,0.3,0.5,5,10,21,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,12,0,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,5,0,142,1.6,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.5,4,5,19,0.00,0.63,0.63,0.00,0.63,0.59,0.34,0.93,0.59,0.93
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,11,3,370,4.1,0,1,1,0,0,0,2,0,0.8,0.8,0.9,1.7,19,13,39,0.00,0.24,0.24,0.00,0.24,0.20,0.21,0.40,0.20,0.40
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,11,2,265,2.9,1,3,4,1,0,0,1,0,0.5,0.5,0.6,1.2,15,15,45,0.34,1.02,1.36,0.34,1.36,0.18,0.22,0.39,0.18,0.39
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,7,3,275,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,10,9,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,13,10,878,9.8,1,0,1,1,0,2,2,0,4.5,2.9,0.7,3.6,3,11,57,0.10,0.00,0.10,0.10,0.10,0.46,0.07,0.53,0.30,0.37
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,10,5,579,6.4,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,4,31,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,10,1,291,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,13,10,33,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.12,0.09,0.12
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,7,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,5,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28
