Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,4.4,8,1.82,7,1,0,0,0,0,1,0.23,1,0,0,0,0,0
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,1.1,2,1.78,1,0,0,1,0,0,1,0.89,1,0,0,0,0,0
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,1.1,2,1.89,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,1.6,7,4.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,4.1,7,1.70,4,0,1,0,2,0,1,0.24,1,0,0,0,0,0
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,2.9,17,5.80,15,0,1,1,0,0,3,1.02,3,0,0,0,0,0
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,3.1,9,2.93,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,9.8,21,2.15,17,1,0,1,2,0,0,0.00,0,0,0,0,0,0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,6.4,6,0.93,4,0,1,0,1,0,1,0.16,1,0,0,0,0,0
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,3.2,7,2.16,6,0,0,0,1,0,1,0.31,1,0,0,0,0,0
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kofi Amoako,de GER,MF,Wolfsburg,18-258,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Robert Andrich,de GER,"MF,DF",Leverkusen,29-119,1994,4.7,4,0.85,4,0,0,0,0,0,1,0.21,1,0,0,0,0,0
Waldemar Anton,de GER,DF,Stuttgart,27-183,1996,16.6,18,1.08,14,0,0,2,1,1,4,0.24,3,0,0,1,0,0
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-346,1994,8.0,25,3.10,18,5,0,2,0,0,2,0.25,2,0,0,0,0,0
Maximilian Arnold,de GER,MF,Wolfsburg,29-237,1994,11.9,25,2.11,15,8,1,0,1,0,0,0.00,0,0,0,0,0,0
Arthur,br BRA,DF,Leverkusen,20-308,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Takuma Asano,jp JPN,"FW,MF",Bochum,29-070,1994,13.1,38,2.91,25,0,3,4,5,1,2,0.15,1,0,0,1,0,0
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17.0,1,0.06,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-216,1997,10.3,26,2.52,22,1,0,1,1,1,2,0.19,2,0,0,0,0,0
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-286,1998,10.3,26,2.53,25,0,0,0,1,0,1,0.10,1,0,0,0,0,0
Samuel Bamba,de GER,FW,Dortmund,19-340,2004,0.5,2,3.83,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-243,1998,3.6,15,4.21,10,2,1,1,1,0,1,0.28,1,0,0,0,0,0
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,24-016,2000,14.0,27,1.93,19,1,1,2,2,2,2,0.14,2,0,0,0,0,0
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maximilian Bauer,de GER,DF,Augsburg,23-344,2000,5.5,3,0.55,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-085,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17.0,2,0.12,1,1,0,0,0,0,1,0.06,0,1,0,0,0,0
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-171,1999,7.6,29,3.80,16,0,3,5,4,1,2,0.26,0,0,0,1,1,0
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-271,1994,8.1,20,2.46,12,0,3,3,2,0,3,0.37,0,0,2,0,1,0
Adrian Beck,de GER,MF,Heidenheim,26-224,1997,6.8,19,2.79,13,0,2,3,0,1,3,0.44,2,0,0,1,0,0
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-344,1995,7.2,28,3.91,22,0,2,2,2,0,4,0.56,2,0,0,1,1,0
Donny van de Beek,nl NED,FW,Eint Frankfurt,26-276,1997,0.7,1,1.45,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Behrens,de GER,FW,Union Berlin,32-350,1991,12.3,32,2.60,23,0,0,2,6,1,2,0.16,1,0,0,0,1,0
Maximilian Beier,de GER,FW,Hoffenheim,21-094,2002,11.4,28,2.45,12,0,3,5,8,0,5,0.44,0,0,1,2,2,0
Stefan Bell,de GER,DF,Mainz 05,32-148,1991,7.4,5,0.68,5,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Ramy Bensebaini,dz ALG,DF,Dortmund,28-278,1995,11.1,26,2.34,16,2,2,2,4,0,3,0.27,3,0,0,0,0,0
Mergim Berisha,de GER,FW,Hoffenheim,25-253,1998,1.6,4,2.48,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Mergim Berisha,de GER,FW,Augsburg,25-253,1998,1.4,5,3.69,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Bernardo,br BRA,DF,Bochum,28-250,1995,17.0,20,1.18,16,0,0,2,2,0,2,0.12,1,0,0,1,0,0
