Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17,17,"1,530",17.0,26,1.53,65,40,63.1,7,4,6,7,41.2,2,2,0,0,0.0
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17,17,"1,530",17.0,33,1.94,104,69,69.2,7,3,7,1,5.9,4,1,3,0,75.0
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17,17,"1,530",17.0,18,1.06,52,34,69.2,10,3,4,5,29.4,2,2,0,0,0.0
Alexander Brunst,de GER,GK,Darmstadt 98,28-196,1995,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Koen Casteels,be BEL,GK,Wolfsburg,31-208,1992,14,14,"1,260",14.0,21,1.50,69,48,71.0,6,1,7,3,21.4,1,1,0,0,0.0
Finn Dahmen,de GER,GK,Augsburg,25-298,1998,17,17,"1,530",17.0,32,1.88,100,69,73.0,4,6,7,0,0.0,6,5,1,0,16.7
Jens Grahl,de GER,GK,Eint Frankfurt,35-119,1988,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-056,1989,17,17,"1,530",17.0,12,0.71,60,48,80.0,14,3,0,8,47.1,0,0,0,0,
Gregor Kobel,ch SUI,GK,Dortmund,26-044,1997,17,17,"1,465",16.3,24,1.47,82,58,76.8,8,6,3,4,23.5,6,5,1,0,16.7
Alexander Meyer,de GER,GK,Dortmund,32-281,1991,1,0,65,0.7,1,1.38,2,1,50.0,0,0,0,0,,0,0,0,0,
Kevin Müller,de GER,GK,Heidenheim,32-310,1991,17,17,"1,530",17.0,33,1.94,99,67,72.7,6,3,8,4,23.5,9,6,1,2,14.3
Manuel Neuer,de GER,GK,Bayern Munich,37-298,1986,8,8,720,8.0,8,1.00,24,16,66.7,7,0,1,5,62.5,0,0,0,0,
Moritz Nicolas,de GER,GK,M'Gladbach,26-090,1997,15,15,"1,350",15.0,29,1.93,91,62,72.5,5,4,6,1,6.7,4,4,0,0,0.0
Alexander Nübel,de GER,GK,Stuttgart,27-111,1996,17,17,"1,530",17.0,22,1.29,67,47,68.7,11,1,5,6,35.3,1,1,0,0,0.0
Jonas Omlin,ch SUI,GK,M'Gladbach,30-009,1994,2,2,180,2.0,7,3.50,18,11,66.7,0,1,1,0,0.0,1,1,0,0,0.0
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-280,1992,7,7,630,7.0,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0.0
Pavao Pervan,at AUT,GK,Wolfsburg,36-067,1987,3,3,270,3.0,7,2.33,16,10,56.3,0,1,2,0,0.0,0,0,0,0,
Manuel Riemann,de GER,GK,Bochum,35-132,1988,17,17,"1,530",17.0,34,2.00,96,62,67.7,3,8,6,3,17.6,5,3,2,0,40.0
Frederik Rønnow,dk DEN,GK,Union Berlin,31-168,1992,16,16,"1,440",16.0,31,1.94,77,45,63.6,4,2,10,2,12.5,5,3,2,0,40.0
Marcel Schuhen,de GER,GK,Darmstadt 98,31-006,1993,16,16,"1,440",16.0,43,2.69,107,63,60.7,2,3,11,1,6.3,2,1,1,0,50.0
Marvin Schwäbe,de GER,GK,Köln,28-269,1995,17,17,"1,530",17.0,29,1.71,87,58,67.8,2,5,10,2,11.8,1,1,0,0,0.0
Kevin Trapp,de GER,GK,Eint Frankfurt,33-195,1990,16,16,"1,440",16.0,19,1.19,67,46,76.1,6,6,4,5,31.3,5,3,2,0,40.0
Sven Ulreich,de GER,GK,Bayern Munich,35-169,1988,8,8,720,8.0,7,0.87,17,10,64.7,6,2,0,3,37.5,1,1,0,0,0.0
Robin Zentner,de GER,GK,Mainz 05,29-083,1994,13,13,"1,170",13.0,26,2.00,55,30,56.4,1,6,6,2,15.4,2,2,0,0,0.0
Michael Zetterer,de GER,GK,Werder Bremen,28-191,1995,10,10,900,10.0,14,1.40,41,28,68.3,2,5,3,2,20.0,1,1,0,0,0.0
