Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,4.4,93,120,77.5,1246,337,59,62,95.2,27,37,73.0,2,7,28.6,0,0.3,0.4,-0.3,4,11,0,0,10
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,1.1,15,25,60.0,154,26,12,13,92.3,1,8,12.5,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,1.6,28,36,77.8,354,134,16,19,84.2,10,12,83.3,0,1,0.0,1,0.5,0.4,+0.5,3,3,1,0,5
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,4.1,86,119,72.3,1184,344,48,60,80.0,28,38,73.7,4,7,57.1,1,0.9,1.0,+0.1,3,6,4,1,13
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,2.9,109,141,77.3,1413,396,75,86,87.2,26,33,78.8,3,11,27.3,3,0.6,0.9,+2.4,9,9,4,0,15
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,3.1,90,128,70.3,1381,539,49,63,77.8,34,41,82.9,6,12,50.0,0,0.1,0.4,-0.1,3,3,6,2,10
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,9.8,189,257,73.5,2621,287,102,133,76.7,56,77,72.7,11,14,78.6,0,0.7,1.2,-0.7,11,10,1,0,11
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,6.4,293,347,84.4,5476,1932,118,131,90.1,136,151,90.1,35,54,64.8,0,0.1,0.3,-0.1,2,36,0,0,31
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,3.2,61,84,72.6,886,168,33,41,80.5,22,27,81.5,3,8,37.5,0,0.1,0.4,-0.1,2,3,2,1,10
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,0.2,13,18,72.2,182,52,5,5,100.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3
Kofi Amoako,de GER,MF,Wolfsburg,18-258,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Robert Andrich,de GER,"MF,DF",Leverkusen,29-119,1994,4.7,345,385,89.6,5127,1849,192,201,95.5,127,142,89.4,16,22,72.7,0,0.0,0.2,0.0,0,18,1,0,14
Waldemar Anton,de GER,DF,Stuttgart,27-183,1996,16.6,1213,1371,88.5,22075,7755,439,464,94.6,688,735,93.6,73,143,51.0,1,0.2,0.7,+0.8,3,99,2,0,107
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-346,1994,8.0,165,265,62.3,2638,916,91,107,85.0,50,83,60.2,20,50,40.0,1,2.5,2.3,-1.5,15,6,11,4,17
Maximilian Arnold,de GER,MF,Wolfsburg,29-237,1994,11.9,530,651,81.4,10380,2936,201,222,90.5,246,283,86.9,76,127,59.8,0,1.5,1.3,-1.5,17,67,9,1,59
Arthur,br BRA,DF,Leverkusen,20-308,2003,0.4,20,22,90.9,341,56,11,11,100.0,4,5,80.0,4,4,100.0,0,0.0,0.0,0.0,0,1,1,0,2
Takuma Asano,jp JPN,"FW,MF",Bochum,29-070,1994,13.1,135,202,66.8,1792,435,90,114,78.9,34,50,68.0,4,11,36.4,1,0.9,0.5,+0.1,13,11,7,0,22
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17.0,496,690,71.9,14081,10293,85,87,97.7,246,250,98.4,165,352,46.9,0,0.0,0.0,0.0,0,10,0,0,1
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-216,1997,10.3,345,471,73.2,6315,1963,143,172,83.1,165,203,81.3,34,68,50.0,1,2.0,2.7,-1.0,13,18,15,4,35
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-286,1998,10.3,436,567,76.9,7042,2201,215,244,88.1,178,229,77.7,35,67,52.2,0,1.6,1.6,-1.6,14,28,14,8,41
Samuel Bamba,de GER,FW,Dortmund,19-340,2004,0.5,14,20,70.0,207,42,11,12,91.7,1,2,50.0,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,2
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-243,1998,3.6,118,184,64.1,1842,639,64,90,71.1,39,59,66.1,9,20,45.0,0,0.3,0.6,-0.3,5,11,4,1,16
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,24-016,2000,14.0,373,496,75.2,6036,1734,179,224,79.9,156,197,79.2,29,45,64.4,0,0.5,0.5,-0.5,9,41,7,2,48
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4.0,104,153,68.0,2854,2094,18,19,94.7,53,55,96.4,33,79,41.8,0,0.0,0.0,0.0,0,5,0,0,0
Maximilian Bauer,de GER,DF,Augsburg,23-344,2000,5.5,243,286,85.0,4454,1497,84,93,90.3,141,156,90.4,14,30,46.7,0,0.0,0.0,0.0,0,10,0,0,11
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-085,2005,0.2,7,10,70.0,113,69,3,5,60.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17.0,509,693,73.4,14132,10445,95,96,99.0,247,248,99.6,164,344,47.7,1,0.1,0.1,+0.9,1,13,0,0,0
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-171,1999,7.6,208,277,75.1,2950,856,112,136,82.4,74,89,83.1,10,16,62.5,1,1.0,1.1,0.0,12,24,8,1,36
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-271,1994,8.1,167,241,69.3,2460,838,92,116,79.3,57,81,70.4,8,18,44.4,0,0.2,0.5,-0.2,5,6,4,0,18
Adrian Beck,de GER,MF,Heidenheim,26-224,1997,6.8,183,246,74.4,2861,533,96,120,80.0,68,81,84.0,12,19,63.2,1,0.7,0.4,+0.3,8,11,2,0,10
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-344,1995,7.2,183,280,65.4,3161,770,92,117,78.6,70,108,64.8,18,36,50.0,1,1.8,1.6,-0.8,12,15,12,7,20
Donny van de Beek,nl NED,FW,Eint Frankfurt,26-276,1997,0.7,12,16,75.0,157,33,7,8,87.5,2,2,100.0,1,3,33.3,0,0.0,0.1,0.0,1,1,0,0,0
Kevin Behrens,de GER,FW,Union Berlin,32-350,1991,12.3,185,291,63.6,2934,737,96,135,71.1,61,88,69.3,19,29,65.5,0,0.8,1.1,-0.8,15,21,7,0,41
Maximilian Beier,de GER,FW,Hoffenheim,21-094,2002,11.4,125,194,64.4,1546,288,74,97,76.3,33,55,60.0,3,8,37.5,0,0.3,0.6,-0.3,6,2,9,1,15
Stefan Bell,de GER,DF,Mainz 05,32-148,1991,7.4,297,370,80.3,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,0,0.1,0.3,-0.1,1,16,3,1,23
Ramy Bensebaini,dz ALG,DF,Dortmund,28-278,1995,11.1,690,832,82.9,11276,3543,338,376,89.9,294,333,88.3,43,76,56.6,0,0.4,0.9,-0.4,6,62,9,1,74
Mergim Berisha,de GER,FW,Hoffenheim,25-253,1998,1.6,22,33,66.7,290,91,11,15,73.3,7,10,70.0,1,2,50.0,0,0.3,0.1,-0.3,2,2,1,0,3
Mergim Berisha,de GER,FW,Augsburg,25-253,1998,1.4,10,14,71.4,142,73,6,8,75.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,2,1,1,1,1
Bernardo,br BRA,DF,Bochum,28-250,1995,17.0,604,820,73.7,11199,4269,247,297,83.2,283,350,80.9,63,136,46.3,0,0.3,0.3,-0.3,7,50,5,2,47
Matúš Bero,sk SVK,"MF,FW",Bochum,28-135,1995,7.4,143,198,72.2,2105,606,80,100,80.0,49,62,79.0,8,21,38.1,0,0.5,0.4,-0.5,4,9,3,1,11
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,25-015,1999,14.0,250,431,58.0,4705,1973,116,146,79.5,72,125,57.6,50,117,42.7,7,3.0,2.9,+4.0,34,10,10,4,25
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-205,2005,1.6,65,81,80.2,1124,461,32,38,84.2,26,29,89.7,5,8,62.5,1,0.7,0.6,+0.3,4,11,2,1,15
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-031,1993,9.3,318,398,79.9,5209,1230,155,174,89.1,131,155,84.5,26,50,52.0,1,1.2,1.4,-0.2,9,25,8,2,38
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17.0,685,788,86.9,15716,8402,150,153,98.0,397,401,99.0,137,231,59.3,0,0.1,0.1,-0.1,1,9,0,0,3
Victor Boniface,ng NGA,FW,Leverkusen,23-027,2000,14.2,225,315,71.4,3242,647,123,161,76.4,75,89,84.3,13,21,61.9,7,3.6,2.9,+3.4,20,12,11,0,29
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,5.1,190,248,76.6,4063,1911,51,58,87.9,105,118,89.0,31,67,46.3,0,0.3,0.1,-0.3,2,17,2,1,21
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,0.2,7,11,63.6,127,10,4,5,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-303,1999,6.4,300,341,88.0,5776,1953,95,104,91.3,177,187,94.7,28,48,58.3,0,0.0,0.1,0.0,0,13,0,0,17
Rafael Borré,co COL,FW,Werder Bremen,28-126,1995,10.0,206,272,75.7,3133,626,126,151,83.4,61,78,78.2,11,17,64.7,0,1.8,1.9,-1.8,13,19,8,3,25
Julian Brandt,de GER,"MF,FW",Dortmund,27-262,1996,14.1,532,689,77.2,8940,2331,262,305,85.9,173,211,82.0,71,119,59.7,7,6.5,4.9,+0.5,48,28,19,7,55
Tim Breithaupt,de GER,MF,Augsburg,21-346,2002,2.9,76,99,76.8,1148,302,37,47,78.7,35,39,89.7,2,7,28.6,0,0.0,0.1,0.0,1,5,1,0,3
