Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,4.4,175,4,27,81,75,11,175,19,5,26.3,13,68.4,108,569,276,5,5,0,9,5,111,21
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,1.1,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,1.1,46,1,5,25,18,6,46,2,0,0.0,1,50.0,26,116,48,1,1,0,5,4,28,5
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,1.6,60,2,6,25,30,10,60,1,1,100.0,0,0.0,33,174,90,4,2,0,6,1,31,19
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,4.1,189,3,27,86,82,21,189,27,8,29.6,15,55.6,127,985,439,19,7,11,17,12,129,39
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,2.9,174,2,20,74,80,17,174,5,4,80.0,0,0.0,102,648,424,15,12,6,7,1,137,45
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,3.1,156,6,57,63,38,5,156,7,3,42.9,4,57.1,84,442,262,6,5,1,3,1,89,9
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,9.8,352,3,28,177,148,58,350,8,1,12.5,6,75.0,157,516,139,3,3,1,24,7,268,57
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,6.4,429,35,185,217,29,2,429,5,3,60.0,2,40.0,233,1064,433,4,5,1,5,0,272,6
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,3.2,140,2,19,56,66,12,140,16,5,31.3,9,56.3,84,569,292,13,4,5,13,8,92,33
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,0.2,27,1,6,11,12,1,27,5,1,20.0,3,60.0,13,140,72,2,1,0,2,0,19,5
Kofi Amoako,de GER,MF,Wolfsburg,18-258,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Robert Andrich,de GER,"MF,DF",Leverkusen,29-119,1994,4.7,416,26,117,257,45,4,416,0,0,,0,,210,909,401,1,7,0,3,2,316,6
Waldemar Anton,de GER,DF,Stuttgart,27-183,1996,16.6,1551,129,589,895,77,16,1551,14,10,71.4,4,28.6,1024,6247,3435,27,13,4,17,6,1120,10
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-346,1994,8.0,359,5,36,99,227,31,359,16,2,12.5,12,75.0,196,1370,696,33,14,11,22,15,231,88
Maximilian Arnold,de GER,MF,Wolfsburg,29-237,1994,11.9,751,36,181,458,119,2,751,4,1,25.0,2,50.0,379,1829,845,11,5,0,8,4,477,10
Arthur,br BRA,DF,Leverkusen,20-308,2003,0.4,26,1,6,7,13,0,26,0,0,,0,,14,125,90,2,2,0,0,0,16,4
Takuma Asano,jp JPN,"FW,MF",Bochum,29-070,1994,13.1,337,13,40,123,183,60,337,18,10,55.6,7,38.9,207,1449,691,29,12,16,26,14,227,87
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17.0,716,554,708,8,0,0,716,0,0,,0,,438,2461,1369,0,0,0,1,0,369,0
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-216,1997,10.3,580,25,200,240,145,15,580,25,9,36.0,12,48.0,312,1672,832,17,14,2,16,3,329,35
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-286,1998,10.3,710,34,181,318,218,24,710,17,6,35.3,8,47.1,355,1770,834,14,16,2,24,9,412,68
Samuel Bamba,de GER,FW,Dortmund,19-340,2004,0.5,30,1,4,5,22,8,30,1,1,100.0,0,0.0,15,146,103,5,3,1,5,0,22,7
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-243,1998,3.6,238,2,19,116,103,19,237,8,2,25.0,4,50.0,123,655,344,14,4,5,12,5,174,33
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,24-016,2000,14.0,679,30,187,376,123,33,679,15,7,46.7,7,46.7,264,1041,444,9,6,2,20,6,357,21
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4.0,166,124,162,4,0,0,166,0,0,,0,,84,433,265,0,0,0,0,0,91,0
Maximilian Bauer,de GER,DF,Augsburg,23-344,2000,5.5,346,44,221,116,10,5,346,1,1,100.0,0,0.0,219,1035,555,0,1,0,2,0,223,0
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-085,2005,0.2,15,0,4,10,1,0,15,1,0,0.0,1,100.0,9,43,21,0,0,0,2,1,10,0
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17.0,750,613,740,11,0,0,750,0,0,,0,,389,1837,981,0,0,0,0,0,341,0
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-171,1999,7.6,401,6,51,178,176,42,401,17,8,47.1,8,47.1,241,1180,659,17,20,9,22,13,290,54
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-271,1994,8.1,354,14,61,127,170,26,354,28,8,28.6,16,57.1,188,898,448,15,14,9,28,8,217,59
Adrian Beck,de GER,MF,Heidenheim,26-224,1997,6.8,322,6,51,175,98,23,322,16,9,56.3,7,43.8,186,908,311,6,4,0,15,12,201,24
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-344,1995,7.2,347,6,33,112,208,24,347,14,6,42.9,8,57.1,198,1490,737,32,17,7,14,4,233,73
Donny van de Beek,nl NED,FW,Eint Frankfurt,26-276,1997,0.7,20,0,2,10,8,2,20,1,0,0.0,1,100.0,13,30,10,0,0,0,0,1,15,1
