Player,Nation,Pos,Squad,Age,Born,90s,TotalPassesCmp,TotalPassesAtt,PassCmp%,TotDist,PrgDist,ShortPassesCmp,ShortPassesAtt,ShortPassesCmp%,MediumPassesCmp,MediumPassesAtt,MediumPassesCmp%,LongPassesCmp,LongPassesAtt,LongPassesCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,592,797,74.3,7577,2182,346,423,81.8,150,195,76.9,25,65,38.5,3,4.2,2.6,-1.2,46,47,16,4,86
George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Che Adams,sct SCO,FW,Southampton,26,1996,22.1,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,0.2,24,21,11,2,34
Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,-1.4,24,110,13,0,136
Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,1066,1300,82.0,22623,8478,265,307,86.3,653,735,88.8,136,223,61.0,0,0.4,0.5,-0.4,6,96,7,0,95
Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,599,763,78.5,12203,5332,224,244,91.8,287,335,85.7,82,169,48.5,0,0.5,0.3,-0.5,6,37,4,0,25
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1.0,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2
Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12.0,470,578,81.3,7079,2353,268,300,89.3,169,205,82.4,20,32,62.5,0,1.0,0.9,-1.0,7,29,14,5,43
Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,0.0,1,20,3,1,31
Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,1912,2056,93.0,32634,10258,867,902,96.1,903,945,95.6,117,166,70.5,1,0.4,1.0,0.6,7,140,3,1,116
Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,1639,1813,90.4,26199,8953,803,846,94.9,745,809,92.1,63,98,64.3,0,0.7,1.3,-0.7,9,165,9,1,140
Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7
Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,-1.1,17,110,20,1,120
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,222,290,76.6,3147,669,114,137,83.2,80,95,84.2,8,19,42.1,2,0.7,0.7,1.3,5,20,6,0,28
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,2188,2912,75.1,41590,16323,1000,1123,89.0,822,1045,78.7,331,642,51.6,9,11.5,9.1,-2.5,71,239,82,28,235
Alisson,br BRA,GK,Liverpool,29,1992,37.0,1241,1453,85.4,29043,18696,307,309,99.4,657,666,98.6,273,469,58.2,1,0.3,0.0,0.7,1,16,0,0,3
Dele Alli,eng ENG,MF,Everton,26,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,811,982,82.6,10752,2657,513,567,90.5,223,276,80.8,29,40,72.5,2,3.2,3.0,-1.2,26,45,36,4,124
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,395,503,78.5,5472,885,232,270,85.9,103,135,76.3,28,43,65.1,0,1.8,1.6,-1.8,18,22,13,2,37
Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,1015,1114,91.1,17506,6591,442,473,93.4,498,526,94.7,62,91,68.1,0,0.5,0.4,-0.5,5,58,1,0,66
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0.0,5,6,83.3,74,11,0,1,0.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1
Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,1561,1972,79.2,36474,13911,346,391,88.5,927,1007,92.1,281,534,52.6,0,1.3,1.0,-1.3,12,153,8,1,105
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,4.6,150,198,75.8,2043,599,90,104,86.5,44,56,78.6,5,10,50.0,1,1.3,1.5,-0.3,9,15,4,0,24
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14.0,387,526,73.6,5818,1610,225,257,87.5,110,150,73.3,31,63,49.2,1,1.0,1.1,0.0,12,24,19,7,49
Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,186,348,53.4,2663,501,114,168,67.9,55,108,50.9,12,31,38.7,3,1.3,0.8,1.7,15,12,8,2,27
