Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,1143,12,116,495,554,72,1143,100,34,34.0,48,48.0,686,3646,1532,43,34,13,71,82,767,151
George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Che Adams,sct SCO,FW,Southampton,26,1996,22.1,717,29,66,286,377,103,717,33,16,48.5,13,39.4,405,1613,469,17,11,9,66,28,558,115
Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20
Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,1544,231,776,732,46,19,1544,7,5,71.4,2,28.6,834,4470,2733,16,12,1,4,4,975,3
Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,949,161,563,358,35,23,949,6,4,66.7,0,0.0,523,2127,1137,2,1,0,8,7,564,4
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1.0,63,0,12,35,16,4,63,2,1,50.0,1,50.0,32,179,70,1,2,1,5,1,39,11
Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12.0,740,40,240,279,233,28,740,50,28,56.0,18,36.0,395,2260,1244,30,13,10,28,12,454,76
Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,213,1123,613,10,5,0,3,8,231,12
Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,2231,121,815,1248,176,34,2231,12,6,50.0,3,25.0,1544,8443,5039,24,40,1,12,3,1734,17
Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,1959,86,615,1097,256,32,1959,5,3,60.0,1,20.0,1223,5455,3314,25,19,4,16,0,1492,30
Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18
Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,1251,45,272,796,188,8,1251,30,21,70.0,4,13.3,718,3639,1721,13,21,0,13,22,910,24
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,430,14,73,234,130,23,430,28,13,46.4,11,39.3,258,1292,675,20,17,2,30,24,296,32
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,3180,89,737,1631,837,44,3180,45,30,66.7,13,28.9,1778,6848,3312,43,39,8,35,21,2042,139
Alisson,br BRA,GK,Liverpool,29,1992,37.0,1536,1124,1498,39,0,0,1536,2,2,100.0,0,0.0,985,4654,2962,0,0,0,1,0,901,0
Dele Alli,eng ENG,MF,Everton,26,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1
Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,1300,25,147,417,760,138,1300,79,34,43.0,33,41.8,841,5389,2341,77,46,25,51,28,924,264
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,654,8,46,255,360,89,653,38,21,55.3,14,36.8,406,2187,908,38,18,17,28,24,506,99
Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,1279,185,658,578,46,9,1279,5,2,40.0,2,40.0,779,3720,2275,23,11,0,8,4,909,5
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0.0,8,0,1,5,3,0,8,4,3,75.0,1,25.0,4,70,64,2,0,0,0,0,5,0
Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,2303,355,1232,996,89,39,2303,9,5,55.6,4,44.4,1318,6889,3787,16,8,2,8,3,1498,7
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,4.6,286,7,44,99,151,39,286,29,10,34.5,13,44.8,160,970,522,23,15,12,9,10,182,35
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14.0,717,23,150,271,304,33,717,47,15,31.9,30,63.8,423,2449,1032,31,25,13,25,27,464,72
Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,596,15,39,262,308,80,596,65,26,40.0,29,44.6,375,2589,1243,49,26,18,76,45,476,120
Antony,br BRA,FW,Manchester Utd,22,2000,20.0,1066,12,134,348,609,85,1066,77,30,39.0,38,49.4,763,4783,2569,95,60,32,37,12,813,168
Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3
Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,98,91,98,0,0,0,98,0,0,,0,,53,253,153,0,0,0,0,0,42,0
Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,13.6,566,14,87,269,222,46,566,39,17,43.6,21,53.8,294,1294,615,19,10,7,35,22,354,64
Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,14.8,458,11,71,176,222,46,458,43,13,30.2,25,58.1,255,2338,996,39,29,11,24,22,273,70
Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,15.6,864,21,133,403,341,37,864,52,22,42.3,21,40.4,539,3859,1910,61,45,10,28,28,596,88
Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,1119,892,1103,16,0,0,1119,1,1,100.0,0,0.0,654,2898,1683,0,0,0,1,0,604,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,161,7,16,69,79,23,161,5,3,60.0,2,40.0,86,529,259,9,6,4,11,4,116,29
Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3
Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,21.6,1238,107,484,505,263,13,1238,32,16,50.0,11,34.4,520,2394,1398,37,26,2,31,18,574,50
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,15.6,435,22,62,177,203,55,435,22,7,31.8,12,54.5,246,1269,530,18,13,9,68,29,284,55
Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,30,0,5,18,8,1,30,1,0,0.0,0,0.0,19,76,44,0,0,0,2,0,25,2
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,106,11,15,49,42,8,105,6,1,16.7,4,66.7,40,271,102,3,3,2,3,4,62,16
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,30.2,1327,46,192,611,560,98,1327,149,65,43.6,59,39.6,801,5195,2372,83,50,31,107,83,932,174
Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,1413,79,466,578,390,56,1413,33,13,39.4,17,51.5,648,2963,1480,28,20,4,23,12,700,100
César Azpilicueta,es ESP,DF,Chelsea,32,1989,17.0,1245,84,424,510,319,25,1245,13,7,53.8,5,38.5,612,2691,1573,23,19,0,12,5,753,81
Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,10.1,945,95,469,458,25,11,945,3,1,33.3,2,66.7,630,3020,1774,11,2,0,2,3,689,2
Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,21.9,813,16,91,283,456,89,813,111,40,36.0,55,49.5,520,4022,1703,85,33,38,48,53,561,182
Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,5.8,324,6,66,189,74,5,324,16,7,43.8,4,25.0,175,990,450,10,7,0,7,6,204,1
Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,11,0,2,4,5,0,11,2,0,0.0,1,50.0,6,25,10,1,0,0,3,1,7,1
Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,550,19,34,257,266,83,548,34,11,32.4,19,55.9,290,1186,447,17,17,13,56,21,386,96
Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,373,12,87,196,97,7,373,13,6,46.2,3,23.1,240,1097,507,8,12,3,16,8,247,23
Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,1143,17,128,435,600,133,1143,91,27,29.7,53,58.2,734,5174,2749,100,72,48,75,42,900,257
Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32.0,1253,910,1234,19,0,0,1253,0,0,,0,,746,3699,2072,0,0,0,0,0,599,0
Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0
Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,1127,205,635,460,37,14,1127,2,1,50.0,1,50.0,579,2671,1580,8,1,0,2,1,605,2
