Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Rice,Dribble,0,38,62,27,89,33
Home,Rice,Dribble,0,12,34,20,66,20
Home,Rice,Dribble,0,14,37,39,65,44
Home,Rice,Dribble,0,26,46,53,71,68
Home,Rice,Dribble,0,28,32,37,64,23
Home,Rice,Dribble,0,45,62,23,81,45
Home,Rice,Dribble,0,50,38,28,57,38
Home,Rice,Dribble,0,57,38,26,65,28
Home,Rice,Dribble,1,9,32,23,57,23
Home,Rice,Dribble,1,36,42,19,65,24
Home,Rice,Dribble,1,53,38,23,65,24
Home,Rice,Dribble,2,6,49,93,88,91
Home,Rice,Dribble,2,12,24,49,41,66
Home,Rice,Dribble,2,18,33,50,68,26
Home,Rice,Dribble,2,23,38,22,68,18
Home,Rice,Dribble,2,41,58,14,76,24
Home,Rice,Dribble,2,49,64,61,78,56
Home,Rice,Dribble,2,59,42,23,66,25
Home,Rice,Dribble,3,41,54,40,88,31
