Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
James Abankwah,ie IRL,DF,Udinese,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,15,8,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Tammy Abraham,eng ENG,FW,Roma,24,1997,38,24,"2,189",24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35,54,141,0.33,0.12,0.45,0.33,0.45,0.45,0.15,0.60,0.45,0.60,Matches
Christian Acella,it ITA,MF,Cremonese,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Francesco Acerbi,it ITA,DF,Inter,34,1988,31,25,"2,425",26.9,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39,100,32,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Yacine Adli,fr FRA,"MF,FW",Milan,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.22,0.05,0.22,Matches
Michel Aebischer,ch SUI,"FW,MF",Bologna,25,1997,32,18,"1,542",17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85,0.06,0.00,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,Matches
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22,8,54,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.22,0.21,0.22,Matches
Kevin Agudelo,co COL,"MF,FW",Spezia,23,1998,34,23,"2,131",23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81,110,100,0.00,0.04,0.04,0.00,0.04,0.06,0.13,0.19,0.06,0.19,Matches
Ola Aina,ng NGA,DF,Torino,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43,0.10,0.10,0.21,0.10,0.21,0.08,0.21,0.29,0.08,0.29,Matches
Emanuel Aiwum,at AUT,DF,Cremonese,21,2000,23,17,"1,653",18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,29,1992,24,16,"1,356",15.1,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19,39,37,0.07,0.07,0.13,0.07,0.13,0.10,0.06,0.16,0.10,0.16,Matches
Luis Alberto,es ESP,MF,Lazio,29,1992,35,27,"2,442",27.1,6,7,13,5,1,2,4,0,4.4,2.7,7.0,9.7,73,248,94,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.10,0.36,Matches
Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46,Matches
Kelvin Amian,fr FRA,DF,Spezia,24,1998,30,26,"2,372",26.4,0,1,1,0,0,0,7,1,2.7,2.7,2.3,5.0,53,102,72,0.00,0.04,0.04,0.00,0.04,0.10,0.09,0.19,0.10,0.19,Matches
Bruno Amione,ar ARG,DF,Hellas Verona,20,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Amione,ar ARG,DF,Sampdoria,20,2002,26,25,"2,086",23.2,1,1,2,1,0,0,10,1,0.9,0.9,0.6,1.5,11,54,9,0.04,0.04,0.09,0.04,0.09,0.04,0.03,0.06,0.04,0.06,Matches
Ethan Ampadu,wls WAL,"DF,MF",Spezia,21,2000,31,31,"2,639",29.3,0,1,1,0,0,0,10,1,1.1,1.1,1.1,2.2,28,125,10,0.00,0.03,0.03,0.00,0.03,0.04,0.04,0.07,0.04,0.07,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,25,1996,29,24,"1,998",22.2,0,1,1,0,0,0,11,0,0.5,0.5,1.1,1.6,36,176,24,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07,Matches
Felipe Anderson,br BRA,FW,Lazio,29,1993,38,35,"2,958",32.9,9,2,11,9,0,0,3,0,6.0,6.0,4.8,10.9,83,114,224,0.27,0.06,0.33,0.27,0.33,0.18,0.15,0.33,0.18,0.33,Matches
Janis Antiste,fr FRA,FW,Sassuolo,19,2002,2,0,52,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,2,1.73,0.00,1.73,1.73,1.73,0.31,0.00,0.31,0.31,0.31,Matches
Marcos Antônio,br BRA,MF,Lazio,22,2000,16,6,594,6.6,1,1,2,1,0,0,2,0,1.2,1.2,0.3,1.5,1,25,8,0.15,0.15,0.30,0.15,0.30,0.18,0.04,0.23,0.18,0.23,Matches
Valentin Antov,bg BUL,DF,Monza,21,2000,9,2,306,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,14,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Marko Arnautović,at AUT,FW,Bologna,33,1989,21,18,"1,530",17.0,10,0,10,7,3,3,5,0,7.2,4.8,1.9,6.7,13,36,116,0.59,0.00,0.59,0.41,0.41,0.42,0.11,0.53,0.28,0.39,Matches
Tolgay Arslan,de GER,MF,Udinese,31,1990,36,12,"1,211",13.5,1,0,1,1,0,0,3,0,2.2,2.2,1.6,3.8,45,77,37,0.07,0.00,0.07,0.07,0.07,0.16,0.12,0.29,0.16,0.29,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur,br BRA,FW,Fiorentina,24,1998,28,15,"1,432",15.9,8,1,9,6,2,2,4,0,7.9,6.3,0.8,7.0,11,21,86,0.50,0.06,0.57,0.38,0.44,0.49,0.05,0.54,0.39,0.44,Matches
Santiago Ascacíbar,ar ARG,MF,Cremonese,25,1997,13,7,727,8.1,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,1,41,6,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Kristoffer Askildsen,no NOR,MF,Lecce,21,2001,21,7,728,8.1,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.9,10,24,17,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.11,0.06,0.11,Matches
Kristjan Asllani,al ALB,MF,Inter,20,2002,20,5,592,6.6,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.5,6,29,6,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.22,0.08,0.22,Matches
Emil Audero,it ITA,GK,Sampdoria,25,1997,25,25,"2,250",25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tommaso Augello,it ITA,DF,Sampdoria,27,1994,37,35,"3,061",34.0,2,5,7,2,0,0,3,0,1.0,1.0,3.9,4.8,84,119,153,0.06,0.15,0.21,0.06,0.21,0.03,0.11,0.14,0.03,0.14,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,27,1994,10,5,545,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jaime Báez,uy URU,DF,Cremonese,27,1995,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,5,4,8,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches
Nedim Bajrami,al ALB,"MF,FW",Empoli,23,1999,19,8,940,10.4,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,22,29,47,0.10,0.10,0.19,0.10,0.19,0.12,0.11,0.23,0.12,0.23,Matches
Nedim Bajrami,al ALB,"FW,MF",Sassuolo,23,1999,18,7,819,9.1,1,0,1,1,0,0,0,0,1.9,1.9,1.5,3.4,23,44,96,0.11,0.00,0.11,0.11,0.11,0.21,0.16,0.37,0.21,0.37,Matches
Tiemoué Bakayoko,fr FRA,MF,Milan,27,1994,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tommaso Baldanzi,it ITA,MF,Empoli,19,2003,26,24,"1,772",19.7,4,0,4,4,0,0,2,0,2.4,2.4,1.8,4.2,57,69,94,0.20,0.00,0.20,0.20,0.20,0.12,0.09,0.21,0.12,0.21,Matches
Fodé Ballo-Touré,sn SEN,DF,Milan,25,1997,10,5,523,5.8,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.9,11,25,31,0.17,0.00,0.17,0.17,0.17,0.11,0.04,0.15,0.11,0.15,Matches
Lameck Banda,zm ZAM,"FW,MF",Lecce,21,2001,36,19,"1,636",18.2,2,1,3,2,0,0,6,0,3.1,3.1,1.3,4.5,86,28,160,0.11,0.06,0.17,0.11,0.17,0.17,0.07,0.25,0.17,0.25,Matches
Filippo Bandinelli,it ITA,MF,Empoli,27,1995,35,28,"2,263",25.1,2,0,2,2,0,0,10,0,1.7,1.7,2.6,4.4,40,101,89,0.08,0.00,0.08,0.08,0.08,0.07,0.10,0.17,0.07,0.17,Matches
Antonín Barák,cz CZE,MF,Hellas Verona,27,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Antonín Barák,cz CZE,MF,Fiorentina,27,1994,30,21,"1,799",20.0,2,0,2,2,0,0,4,0,2.6,2.6,1.6,4.1,45,82,93,0.10,0.00,0.10,0.10,0.10,0.13,0.08,0.21,0.13,0.21,Matches
